Index,Species,Type1,Type2,Ability1,Ability2,Ability3,level,base_experience,HP,Attack,Defence,Sp.Attack,Sp.Defence,Speed,Total,Weight,Height,Seed Type,Egg Type1,Egg Type2,Moves
690,Skrelp,Poison,Water,Poison Point,Poison Touch,Adaptability,50,64,50,60,60,60,60,30,320,16.1 lbs.,"1'08""",Mock Kelp Pokémon,Water 1,Dragon,"scratch, swords-dance, cut, sand-attack, water-gun, surf, ice-beam, blizzard, hyper-beam, low-kick, strength, earthquake, dig, toxic, screech, double-team, withdraw, clamp, skull-bash, fury-swipes, rest, rock-slide, slash, substitute, thief, snore, protect, sludge-bomb, mud-slap, icy-wind, sandstorm, endure, false-swipe, swagger, fury-cutter, attract, sleep-talk, return, frustration, safeguard, hidden-power, cross-chop, rain-dance, ancient-power, rock-smash, whirlpool, beat-up, uproar, torment, facade, nature-power, taunt, helping-hand, superpower, brick-break, endeavor, secret-power, dive, rock-tomb, muddy-water, aerial-ace, iron-defense, dragon-claw, bulk-up, mud-shot, rock-blast, water-pulse, payback, assurance, embargo, fling, rock-polish, poison-jab, night-slash, x-scissor, focus-blast, earth-power, giga-impact, shadow-claw, stone-edge, stealth-rock, grass-knot, hone-claws, smack-down, sludge-wave, round, scald, shell-smash, bulldoze, dual-chop, razor-shell, confide, infestation, power-up-punch, laser-focus, brutal-swing, liquidation, meteor-beam"
691,Dragalge,Poison,Dragon,Poison Point,Poison Touch,Adaptability,50,173,65,75,90,97,123,44,494,179.7 lbs.,"5'11""",Mock Kelp Pokémon,Water 1,Dragon,"tackle, take-down, tail-whip, acid, water-gun, hydro-pump, surf, thunderbolt, toxic, double-team, smokescreen, haze, waterfall, bubble, acid-armor, rest, substitute, thief, snore, spite, protect, scary-face, feint-attack, sludge-bomb, mud-slap, icy-wind, outrage, endure, swagger, attract, sleep-talk, return, frustration, iron-tail, hidden-power, twister, rain-dance, shadow-ball, whirlpool, hail, facade, secret-power, dive, camouflage, muddy-water, bounce, mud-shot, poison-tail, shock-wave, water-pulse, toxic-spikes, aqua-tail, dragon-pulse, gunk-shot, venoshock, sludge-wave, acid-spray, round, scald, dragon-tail, play-rough, confide, venom-drench, liquidation, scale-shot, flip-turn, tera-blast, snowscape, chilling-water"
692,Clauncher,Water,NULL,Mega Launcher,NULL,NULL,50,66,50,53,62,58,63,44,330,18.3 lbs.,"1'08""",Water Gun Pokémon,Water 1,Water 3,"tackle, take-down, tail-whip, acid, water-gun, hydro-pump, surf, hyper-beam, thunderbolt, thunder, toxic, double-team, smokescreen, haze, waterfall, bubble, rest, substitute, thief, snore, spite, protect, scary-face, feint-attack, sludge-bomb, mud-slap, icy-wind, outrage, endure, swagger, attract, sleep-talk, return, frustration, iron-tail, hidden-power, twister, rain-dance, shadow-ball, whirlpool, hail, facade, secret-power, dive, camouflage, muddy-water, bounce, mud-shot, poison-tail, shock-wave, water-pulse, toxic-spikes, aqua-tail, dragon-pulse, focus-blast, giga-impact, draco-meteor, gunk-shot, venoshock, sludge-wave, acid-spray, round, scald, dragon-tail, play-rough, confide, venom-drench, liquidation, scale-shot, flip-turn, tera-blast, snowscape, chilling-water"
693,Clawitzer,Water,NULL,Mega Launcher,NULL,NULL,50,100,71,73,88,120,89,59,500,77.8 lbs.,"4'03""",Howitzer Pokémon,Water 1,Water 3,"vice-grip, swords-dance, cut, take-down, water-gun, hydro-pump, surf, ice-beam, blizzard, bubble-beam, toxic, double-team, waterfall, bubble, splash, crabhammer, rest, rock-slide, substitute, thief, snore, flail, protect, sludge-bomb, mud-slap, icy-wind, endure, swagger, attract, sleep-talk, return, frustration, iron-tail, hidden-power, rain-dance, facade, helping-hand, secret-power, dive, weather-ball, muddy-water, bounce, mud-shot, water-sport, water-pulse, u-turn, aura-sphere, dark-pulse, aqua-tail, dragon-pulse, flash-cannon, aqua-jet, hone-claws, venoshock, smack-down, sludge-wave, entrainment, round, scald, confide, liquidation, terrain-pulse, flip-turn, tera-blast, pounce, chilling-water"
694,Helioptile,Electric,Normal,Dry Skin,Sand Veil,Solar Power,50,58,44,38,33,61,43,70,289,13.2 lbs.,"1'08""",Generator Pokémon,Monster,Dragon,"vice-grip, swords-dance, cut, body-slam, take-down, water-gun, hydro-pump, surf, ice-beam, blizzard, bubble-beam, hyper-beam, toxic, double-team, waterfall, bubble, splash, crabhammer, rest, rock-slide, substitute, thief, snore, flail, protect, scary-face, sludge-bomb, mud-slap, icy-wind, endure, swagger, attract, sleep-talk, return, frustration, iron-tail, hidden-power, rain-dance, shadow-ball, facade, helping-hand, secret-power, dive, weather-ball, muddy-water, bounce, mud-shot, water-sport, water-pulse, u-turn, aura-sphere, dark-pulse, aqua-tail, dragon-pulse, focus-blast, giga-impact, flash-cannon, aqua-jet, hone-claws, venoshock, smack-down, sludge-wave, round, scald, heal-pulse, confide, laser-focus, liquidation, terrain-pulse, flip-turn, tera-blast, pounce, chilling-water"
695,Heliolisk,Electric,Normal,Dry Skin,Sand Veil,Solar Power,50,168,62,55,52,109,94,109,481,46.3 lbs.,"3'03""",Generator Pokémon,Monster,Dragon,"pound, razor-wind, cut, tail-whip, surf, thunder-shock, thunderbolt, thunder-wave, thunder, dig, toxic, agility, quick-attack, double-team, light-screen, swift, glare, flash, rest, rock-slide, substitute, snore, protect, mud-slap, sandstorm, endure, swagger, attract, sleep-talk, return, frustration, iron-tail, hidden-power, rain-dance, psych-up, facade, charge, secret-power, camouflage, rock-tomb, signal-beam, shock-wave, u-turn, magnet-rise, dark-pulse, dragon-rush, grass-knot, charge-beam, electro-ball, low-sweep, round, ally-switch, volt-switch, bulldoze, dragon-tail, electroweb, wild-charge, parabolic-charge, electrify, confide, electric-terrain, scale-shot, rising-voltage"
696,Tyrunt,Rock,Dragon,Strong Jaw,NULL,Sturdy,50,72,58,89,77,45,45,48,362,57.3 lbs.,"2'07""",Royal Heir Pokémon,Monster,Dragon,"pound, mega-punch, fire-punch, thunder-punch, razor-wind, cut, mega-kick, tail-whip, surf, hyper-beam, low-kick, solar-beam, thunder-shock, thunderbolt, thunder-wave, thunder, dig, toxic, agility, quick-attack, double-team, light-screen, swift, flash, rest, rock-slide, substitute, snore, protect, mud-slap, sandstorm, endure, swagger, attract, sleep-talk, return, frustration, iron-tail, hidden-power, rain-dance, sunny-day, psych-up, facade, charge, secret-power, hyper-voice, weather-ball, rock-tomb, signal-beam, shock-wave, u-turn, magnet-rise, dark-pulse, dragon-pulse, focus-blast, giga-impact, discharge, grass-knot, charge-beam, electro-ball, low-sweep, round, ally-switch, volt-switch, bulldoze, dragon-tail, electroweb, wild-charge, parabolic-charge, electrify, confide, eerie-impulse, electric-terrain, brutal-swing, breaking-swipe, scale-shot, rising-voltage"
697,Tyrantrum,Rock,Dragon,Strong Jaw,NULL,Rock Head,50,182,82,121,119,69,59,71,521,595.2 lbs.,"8'02""",Despot Pokémon,Monster,Dragon,"stomp, horn-drill, tackle, body-slam, thrash, tail-whip, bite, roar, strength, rock-throw, earthquake, dig, toxic, double-team, bide, rest, rock-slide, substitute, snore, curse, protect, scary-face, outrage, sandstorm, endure, charm, swagger, attract, sleep-talk, return, frustration, iron-tail, hidden-power, sunny-day, crunch, ancient-power, rock-smash, facade, superpower, brick-break, secret-power, hyper-voice, poison-fang, rock-tomb, aerial-ace, iron-defense, block, dragon-claw, dragon-dance, rock-blast, close-combat, assurance, rock-polish, dark-pulse, dragon-pulse, earth-power, thunder-fang, ice-fang, fire-fang, zen-headbutt, draco-meteor, iron-head, stone-edge, stealth-rock, hone-claws, round, bulldoze, dragon-tail, play-rough, confide, psychic-fangs, stomping-tantrum, scale-shot, meteor-beam, lash-out"
698,Amaura,Rock,Ice,Refrigerate,NULL,Snow Warning,50,72,77,59,50,67,63,46,362,55.6 lbs.,"4'03""",Tundra Pokémon,Monster,NULL,"stomp, horn-drill, tackle, body-slam, thrash, tail-whip, bite, roar, hyper-beam, strength, earthquake, dig, toxic, double-team, bide, rest, rock-slide, substitute, snore, protect, scary-face, outrage, sandstorm, endure, charm, swagger, attract, sleep-talk, return, frustration, iron-tail, hidden-power, sunny-day, crunch, ancient-power, rock-smash, facade, superpower, brick-break, secret-power, hyper-voice, rock-tomb, aerial-ace, iron-defense, block, dragon-claw, dragon-dance, rock-blast, close-combat, assurance, rock-polish, dark-pulse, dragon-pulse, earth-power, giga-impact, thunder-fang, ice-fang, fire-fang, zen-headbutt, draco-meteor, iron-head, stone-edge, stealth-rock, head-smash, hone-claws, round, bulldoze, dragon-tail, play-rough, confide, high-horsepower, brutal-swing, psychic-fangs, stomping-tantrum, breaking-swipe, scale-shot, meteor-beam, lash-out"
699,Aurorus,Rock,Ice,Refrigerate,NULL,Snow Warning,50,104,123,77,72,99,92,58,521,496.0 lbs.,"8'10""",Tundra Pokémon,Monster,NULL,"body-slam, take-down, growl, roar, mist, ice-beam, blizzard, aurora-beam, hyper-beam, thunderbolt, thunder-wave, rock-throw, toxic, double-team, barrier, light-screen, haze, reflect, dream-eater, flash, rest, rock-slide, substitute, snore, powder-snow, protect, icy-wind, outrage, sandstorm, endure, swagger, attract, sleep-talk, return, frustration, safeguard, encore, iron-tail, hidden-power, rain-dance, mirror-coat, psych-up, ancient-power, rock-smash, hail, facade, nature-power, secret-power, hyper-voice, weather-ball, rock-tomb, iron-defense, mud-shot, calm-mind, rock-blast, water-pulse, magnet-rise, rock-polish, dark-pulse, aqua-tail, earth-power, avalanche, zen-headbutt, flash-cannon, discharge, iron-head, stone-edge, stealth-rock, charge-beam, round, echoed-voice, bulldoze, frost-breath, dragon-tail, freeze-dry, confide, aurora-veil, meteor-beam"
700,Sylveon,Fairy,NULL,Cute Charm,NULL,Pixilate,50,184,95,65,65,110,130,60,525,51.8 lbs.,"3'03""",Intertwining Pokémon,Field,NULL,"body-slam, take-down, growl, roar, mist, ice-beam, blizzard, aurora-beam, hyper-beam, thunderbolt, thunder-wave, thunder, rock-throw, earthquake, toxic, psychic, double-team, light-screen, reflect, dream-eater, flash, rest, rock-slide, substitute, snore, powder-snow, protect, icy-wind, outrage, sandstorm, endure, swagger, attract, sleep-talk, return, frustration, safeguard, encore, iron-tail, hidden-power, rain-dance, psych-up, ancient-power, rock-smash, hail, facade, nature-power, secret-power, hyper-voice, weather-ball, rock-tomb, icicle-spear, iron-defense, mud-shot, calm-mind, rock-blast, water-pulse, magnet-rise, rock-polish, dark-pulse, aqua-tail, earth-power, giga-impact, avalanche, zen-headbutt, flash-cannon, iron-head, stone-edge, stealth-rock, charge-beam, round, echoed-voice, bulldoze, frost-breath, dragon-tail, freeze-dry, confide, meteor-beam"
701,Hawlucha,Fighting,Flying,Limber,Unburden,Mold Breaker,50,175,78,92,75,74,63,118,500,47.4 lbs.,"2'07""",Wrestling Pokémon,Human-Like,NULL,"pay-day, cut, sand-attack, tackle, body-slam, take-down, double-edge, tail-whip, bite, growl, roar, hyper-beam, dig, toxic, psychic, quick-attack, mimic, double-team, light-screen, reflect, focus-energy, swift, flash, rest, substitute, snore, curse, protect, endure, charm, swagger, attract, sleep-talk, heal-bell, return, frustration, safeguard, baton-pass, iron-tail, hidden-power, rain-dance, sunny-day, psych-up, shadow-ball, facade, helping-hand, magic-coat, skill-swap, secret-power, hyper-voice, weather-ball, fake-tears, covet, magical-leaf, calm-mind, copycat, last-resort, giga-impact, psyshock, telekinesis, round, echoed-voice, stored-power, retaliate, work-up, disarming-voice, draining-kiss, misty-terrain, play-rough, fairy-wind, moonblast, confide, mystical-fire, dazzling-gleam, baby-doll-eyes, laser-focus, misty-explosion, tera-blast, trailblaze, alluring-voice"
702,Dedenne,Electric,Fairy,Cheek Pouch,Pickup,Plus,50,151,67,58,57,81,67,101,431,4.9 lbs.,"0'08""",Antenna Pokémon,Field,Fairy,"karate-chop, mega-punch, fire-punch, thunder-punch, swords-dance, cut, wing-attack, fly, mega-kick, tackle, body-slam, take-down, hyper-beam, submission, low-kick, strength, dig, toxic, agility, double-team, swift, high-jump-kick, sky-attack, rest, rock-slide, substitute, thief, snore, reversal, protect, detect, endure, false-swipe, swagger, steel-wing, mean-look, attract, sleep-talk, return, frustration, baton-pass, encore, hidden-power, cross-chop, rain-dance, sunny-day, rock-smash, uproar, torment, facade, focus-punch, taunt, helping-hand, superpower, revenge, brick-break, endeavor, secret-power, feather-dance, mud-sport, rock-tomb, aerial-ace, bulk-up, bounce, roost, feint, tailwind, u-turn, close-combat, payback, assurance, fling, me-first, last-resort, poison-jab, x-scissor, drain-punch, focus-blast, brave-bird, giga-impact, zen-headbutt, defog, iron-head, stone-edge, grass-knot, hone-claws, low-sweep, entrainment, round, quick-guard, ally-switch, sky-drop, acrobatics, retaliate, work-up, dual-chop, flying-press, confide, power-up-punch, laser-focus, throat-chop, lunge, body-press, coaching, dual-wingbeat, tera-blast, trailblaze, upper-hand"
703,Carbink,Rock,Fairy,Clear Body,NULL,Sturdy,50,100,50,50,150,50,150,50,500,12.6 lbs.,"1'00""",Jewel Pokémon,Fairy,Mineral,"thunder-punch, cut, tackle, take-down, tail-whip, hyper-beam, thunder-shock, thunderbolt, thunder-wave, thunder, dig, toxic, agility, double-team, light-screen, swift, flash, rest, super-fang, substitute, thief, snore, protect, endure, charm, swagger, attract, sleep-talk, return, frustration, iron-tail, hidden-power, rain-dance, sunny-day, facade, charge, helping-hand, recycle, endeavor, secret-power, signal-beam, aerial-ace, covet, shock-wave, natural-gift, u-turn, fling, last-resort, magnet-rise, seed-bomb, giga-impact, discharge, grass-knot, charge-beam, electro-ball, entrainment, round, ally-switch, retaliate, volt-switch, electroweb, wild-charge, parabolic-charge, draining-kiss, misty-terrain, play-rough, confide, eerie-impulse, electric-terrain, dazzling-gleam, nuzzle, tearful-look, rising-voltage, tera-blast, trailblaze"
704,Goomy,Dragon,NULL,Sap Sipper,Hydration,Gooey,50,60,45,50,35,55,75,40,300,6.2 lbs.,"1'00""",Soft Tissue Pokémon,Dragon,NULL,"tackle, body-slam, take-down, double-edge, hyper-beam, rock-throw, toxic, psychic, double-team, harden, light-screen, reflect, flash, explosion, rest, rock-slide, sharpen, substitute, snore, flail, protect, spikes, sandstorm, endure, charm, swagger, sleep-talk, return, frustration, safeguard, hidden-power, rain-dance, sunny-day, psych-up, ancient-power, hail, facade, nature-power, magic-coat, endeavor, skill-swap, secret-power, rock-tomb, sand-tomb, iron-defense, covet, calm-mind, rock-blast, gravity, gyro-ball, guard-swap, magnet-rise, rock-polish, power-gem, earth-power, giga-impact, flash-cannon, trick-room, iron-head, stone-edge, stealth-rock, guard-split, wonder-room, telekinesis, smack-down, heavy-slam, after-you, round, ally-switch, misty-terrain, moonblast, confide, dazzling-gleam, stomping-tantrum, body-press, meteor-beam, misty-explosion, terrain-pulse, tera-blast"
705,Sliggoo,Dragon,NULL,Sap Sipper,Hydration,Gooey,50,158,68,75,53,83,113,60,452,38.6 lbs.,"2'07""",Soft Tissue Pokémon,Dragon,NULL,"tackle, body-slam, take-down, water-gun, hydro-pump, counter, absorb, thunderbolt, toxic, double-team, bide, bubble, acid-armor, rest, rock-slide, substitute, snore, curse, flail, protect, sludge-bomb, outrage, endure, charm, swagger, attract, sleep-talk, return, frustration, dragon-breath, iron-tail, hidden-power, rain-dance, sunny-day, facade, secret-power, muddy-water, mud-shot, poison-tail, shock-wave, water-pulse, dragon-pulse, draco-meteor, sludge-wave, acid-spray, round, confide, infestation, life-dew, skitter-smack, shelter, tera-blast, chilling-water"
706,Goodra,Dragon,NULL,Sap Sipper,Hydration,Gooey,50,300,90,100,70,110,150,80,600,331.8 lbs.,"6'07""",Dragon Pokémon,Dragon,NULL,"tackle, body-slam, take-down, water-gun, ice-beam, blizzard, absorb, thunderbolt, thunder, toxic, double-team, bide, bubble, acid-armor, rest, rock-slide, substitute, snore, curse, flail, protect, sludge-bomb, outrage, endure, charm, swagger, attract, sleep-talk, return, frustration, dragon-breath, iron-tail, hidden-power, rain-dance, sunny-day, facade, secret-power, muddy-water, mud-shot, shock-wave, water-pulse, dragon-pulse, draco-meteor, sludge-wave, acid-spray, round, confide, infestation, skitter-smack, tera-blast, chilling-water"
707,Klefki,Steel,Fairy,Prankster,NULL,Magician,50,165,57,80,91,80,87,75,470,6.6 lbs.,"0'08""",Key Ring Pokémon,Mineral,NULL,"mega-punch, fire-punch, thunder-punch, mega-kick, tackle, body-slam, take-down, flamethrower, water-gun, hydro-pump, surf, ice-beam, blizzard, hyper-beam, strength, absorb, thunderbolt, thunder, earthquake, toxic, double-team, bide, fire-blast, bubble, rest, rock-slide, substitute, snore, curse, flail, protect, sludge-bomb, outrage, endure, charm, swagger, attract, sleep-talk, return, frustration, dragon-breath, iron-tail, hidden-power, rain-dance, sunny-day, rock-smash, hail, facade, focus-punch, superpower, knock-off, secret-power, weather-ball, muddy-water, dragon-claw, mud-shot, poison-tail, shock-wave, water-pulse, feint, assurance, aqua-tail, dragon-pulse, focus-blast, giga-impact, draco-meteor, power-whip, sludge-wave, acid-spray, round, scald, incinerate, bulldoze, dragon-tail, confide, infestation, laser-focus, brutal-swing, stomping-tantrum, tearful-look, body-press, breaking-swipe, skitter-smack, tera-blast, chilling-water, dragon-cheer"
708,Phantump,Ghost,Grass,Natural Cure,Frisk,Harvest,50,62,43,70,48,50,60,38,309,15.4 lbs.,"1'04""",Stump Pokémon,Grass,Amorphous,"cut, tackle, hyper-beam, thunder-wave, toxic, psychic, double-team, light-screen, reflect, swift, rest, substitute, thief, snore, protect, spikes, lock-on, sandstorm, endure, swagger, attract, sleep-talk, return, frustration, safeguard, hidden-power, rain-dance, sunny-day, psych-up, torment, facade, magic-coat, recycle, imprison, secret-power, astonish, metal-sound, iron-defense, covet, calm-mind, heal-block, last-resort, magnet-rise, switcheroo, giga-impact, mirror-shot, flash-cannon, defog, trick-room, psyshock, magic-room, foul-play, round, stored-power, draining-kiss, crafty-shield, misty-terrain, play-rough, fairy-wind, fairy-lock, confide, dazzling-gleam, steel-beam, skitter-smack, tera-blast"
709,Trevenant,Ghost,Grass,Natural Cure,Frisk,Harvest,50,166,85,110,76,65,82,56,474,156.5 lbs.,"4'11""",Elder Tree Pokémon,Grass,Amorphous,"cut, tackle, disable, strength, leech-seed, growth, solar-beam, dig, toxic, psychic, night-shade, double-team, confuse-ray, reflect, dream-eater, rest, rock-slide, substitute, thief, snore, curse, spite, protect, feint-attack, destiny-bond, giga-drain, endure, swagger, attract, sleep-talk, return, frustration, safeguard, pain-split, hidden-power, rain-dance, sunny-day, psych-up, shadow-ball, rock-smash, will-o-wisp, facade, nature-power, trick, role-play, ingrain, magic-coat, skill-swap, imprison, grudge, secret-power, astonish, magical-leaf, worry-seed, sucker-punch, poison-jab, dark-pulse, seed-bomb, energy-ball, shadow-claw, trick-room, grass-knot, wood-hammer, telekinesis, foul-play, round, ally-switch, hex, bestow, bulldoze, horn-leech, phantom-force, forests-curse, grassy-terrain, confide, venom-drench, power-up-punch, branch-poke, grassy-glide, skitter-smack, lash-out, poltergeist, tera-blast, trailblaze"
710,Pumpkaboo,Ghost,Grass,Pickup,Frisk,Insomnia,50,67,49,66,70,44,55,51,335,11.0 lbs.,"1'04""",Pumpkin Pokémon,Amorphous,NULL,"cut, tackle, take-down, disable, hyper-beam, strength, leech-seed, growth, solar-beam, earthquake, dig, toxic, psychic, night-shade, double-team, confuse-ray, haze, reflect, dream-eater, rest, rock-slide, substitute, thief, snore, curse, spite, protect, scary-face, feint-attack, destiny-bond, giga-drain, endure, swagger, attract, sleep-talk, return, frustration, safeguard, pain-split, hidden-power, rain-dance, sunny-day, psych-up, shadow-ball, rock-smash, will-o-wisp, facade, nature-power, trick, role-play, ingrain, magic-coat, knock-off, skill-swap, imprison, secret-power, astonish, block, magical-leaf, calm-mind, worry-seed, sucker-punch, poison-jab, dark-pulse, seed-bomb, x-scissor, drain-punch, focus-blast, energy-ball, giga-impact, shadow-claw, trick-room, leaf-storm, grass-knot, wood-hammer, hone-claws, telekinesis, foul-play, round, ally-switch, hex, bulldoze, horn-leech, phantom-force, forests-curse, grassy-terrain, confide, venom-drench, power-up-punch, brutal-swing, branch-poke, grassy-glide, skitter-smack, burning-jealousy, lash-out, poltergeist, tera-blast, trailblaze, psychic-noise"
711,Gourgeist,Ghost,Grass,Pickup,Frisk,Insomnia,50,173,65,90,122,58,75,84,494,27.6 lbs.,"2'11""",Pumpkin Pokémon,Amorphous,NULL,N/A
712,Bergmite,Ice,NULL,Own Tempo,Ice Body,Sturdy,50,61,55,69,85,32,35,28,304,219.4 lbs.,"3'03""",Ice Chunk Pokémon,Monster,NULL,N/A
713,Avalugg,Ice,NULL,Own Tempo,Ice Body,Sturdy,50,180,95,117,184,44,46,28,514,1113.3 lbs.,"6'07""",Iceberg Pokémon,Monster,NULL,"tackle, body-slam, take-down, double-edge, bite, mist, surf, ice-beam, blizzard, strength, toxic, double-team, recover, harden, barrier, flash, rest, rock-slide, sharpen, substitute, snore, curse, powder-snow, protect, icy-wind, endure, swagger, attract, sleep-talk, return, frustration, safeguard, rapid-spin, hidden-power, rain-dance, crunch, mirror-coat, rock-smash, hail, facade, secret-power, ice-ball, rock-tomb, icicle-spear, iron-defense, water-pulse, gyro-ball, rock-polish, avalanche, ice-shard, ice-fang, flash-cannon, stone-edge, after-you, round, bulldoze, frost-breath, confide, aurora-veil, tera-blast, ice-spinner, snowscape, chilling-water"
714,Noibat,Flying,Dragon,Frisk,Infiltrator,Telepathy,50,49,40,30,35,45,40,55,245,17.6 lbs.,"1'08""",Sound Wave Pokémon,Flying,NULL,"tackle, body-slam, take-down, double-edge, bite, roar, hydro-pump, surf, ice-beam, blizzard, hyper-beam, strength, earthquake, toxic, double-team, recover, harden, skull-bash, flash, rest, rock-slide, sharpen, substitute, snore, curse, powder-snow, protect, scary-face, icy-wind, endure, swagger, attract, sleep-talk, return, frustration, safeguard, rapid-spin, hidden-power, rain-dance, crunch, rock-smash, hail, facade, superpower, secret-power, ice-ball, rock-tomb, icicle-spear, iron-defense, block, water-pulse, gyro-ball, rock-polish, giga-impact, avalanche, ice-fang, flash-cannon, iron-head, stone-edge, wide-guard, heavy-slam, after-you, round, bulldoze, frost-breath, icicle-crash, confide, high-horsepower, stomping-tantrum, body-press, tera-blast, ice-spinner, snowscape, chilling-water"
715,Noivern,Flying,Dragon,Frisk,Infiltrator,Telepathy,50,187,85,70,80,97,80,123,535,187.4 lbs.,"4'11""",Sound Wave Pokémon,Flying,NULL,"razor-wind, cut, gust, wing-attack, whirlwind, fly, tackle, take-down, bite, supersonic, absorb, solar-beam, toxic, psychic, agility, screech, double-team, swift, dream-eater, leech-life, sky-attack, rest, super-fang, substitute, thief, snore, protect, outrage, endure, swagger, steel-wing, attract, sleep-talk, return, frustration, iron-tail, hidden-power, sunny-day, shadow-ball, uproar, heat-wave, torment, facade, taunt, brick-break, snatch, secret-power, hyper-voice, air-cutter, aerial-ace, dragon-claw, water-pulse, roost, tailwind, u-turn, dark-pulse, air-slash, x-scissor, dragon-pulse, dragon-rush, switcheroo, shadow-claw, defog, draco-meteor, round, echoed-voice, acrobatics, wild-charge, hurricane, confide, dual-wingbeat, tera-blast"
716,Xerneas,Fairy,NULL,Fairy Aura,NULL,NULL,50,340,126,131,95,131,98,99,680,474.0 lbs.,"9'10""",Life Pokémon,Undiscovered,NULL,"razor-wind, cut, gust, wing-attack, whirlwind, fly, tackle, body-slam, take-down, double-edge, bite, supersonic, flamethrower, hyper-beam, absorb, solar-beam, toxic, psychic, agility, screech, double-team, swift, dream-eater, leech-life, sky-attack, rest, super-fang, substitute, thief, snore, protect, scary-face, outrage, endure, swagger, steel-wing, attract, sleep-talk, return, frustration, iron-tail, moonlight, hidden-power, sunny-day, shadow-ball, uproar, heat-wave, torment, facade, taunt, brick-break, snatch, secret-power, hyper-voice, air-cutter, aerial-ace, dragon-claw, dragon-dance, water-pulse, roost, tailwind, u-turn, dark-pulse, air-slash, x-scissor, dragon-pulse, focus-blast, giga-impact, shadow-claw, defog, draco-meteor, hone-claws, round, echoed-voice, acrobatics, dragon-tail, wild-charge, hurricane, boomburst, confide, laser-focus, breaking-swipe, dual-wingbeat, tera-blast, dragon-cheer, psychic-noise"
717,Yveltal,Dark,Flying,Dark Aura,NULL,NULL,50,340,126,131,95,131,98,99,680,447.5 lbs.,"19'00""",Destruction Pokémon,Undiscovered,NULL,"cut, tackle, body-slam, take-down, roar, aurora-beam, hyper-beam, thunderbolt, thunder-wave, thunder, toxic, psychic, double-team, light-screen, reflect, swift, flash, rest, rock-slide, substitute, snore, protect, outrage, endure, swagger, sleep-talk, return, frustration, megahorn, hidden-power, rain-dance, sunny-day, psych-up, hail, facade, nature-power, ingrain, endeavor, secret-power, hyper-voice, aromatherapy, block, calm-mind, gravity, close-combat, night-slash, focus-blast, giga-impact, zen-headbutt, flash-cannon, defog, grass-knot, wonder-room, psyshock, round, echoed-voice, heal-pulse, horn-leech, draining-kiss, misty-terrain, play-rough, moonblast, confide, geomancy, dazzling-gleam, laser-focus, smart-strike, misty-explosion, terrain-pulse"
718,Zygarde,Dragon,Ground,Aura Break,NULL,NULL,100,319,108,100,121,81,95,95,600,672.4 lbs.,"16'05""",Order Pokémon,Undiscovered,NULL,"razor-wind, cut, gust, fly, body-slam, disable, hyper-beam, toxic, psychic, double-team, swift, dream-eater, sky-attack, rest, rock-slide, substitute, thief, snore, protect, endure, swagger, steel-wing, sleep-talk, return, frustration, hidden-power, rain-dance, sunny-day, shadow-ball, heat-wave, torment, facade, taunt, knock-off, secret-power, hyper-voice, aerial-ace, block, dragon-claw, roost, tailwind, u-turn, payback, embargo, sucker-punch, dark-pulse, air-slash, dragon-rush, focus-blast, giga-impact, shadow-claw, zen-headbutt, defog, hone-claws, foul-play, round, sky-drop, acrobatics, hurricane, snarl, phantom-force, confide, oblivion-wing, laser-focus, lash-out, dual-wingbeat"
719,Diancie,Rock,Fairy,Clear Body,NULL,NULL,50,300,50,100,150,100,150,50,600,19.4 lbs.,"2'04""",Jewel Pokémon,Undiscovered,NULL,N/A
720,Hoopa,Psychic,Ghost,Magician,NULL,NULL,50,270,80,110,60,150,130,70,600,19.8 lbs.,"1'08""",Mischief Pokémon,Undiscovered,NULL,"tackle, body-slam, take-down, hyper-beam, rock-throw, toxic, psychic, double-team, harden, light-screen, reflect, metronome, swift, amnesia, flash, explosion, rest, rock-slide, sharpen, substitute, snore, flail, protect, spikes, sandstorm, endure, charm, swagger, sleep-talk, heal-bell, return, frustration, safeguard, baton-pass, encore, hidden-power, rain-dance, sunny-day, psych-up, ancient-power, hail, facade, nature-power, helping-hand, endeavor, skill-swap, secret-power, fake-tears, rock-tomb, sand-tomb, iron-defense, covet, calm-mind, gravity, gyro-ball, guard-swap, last-resort, magnet-rise, rock-polish, power-gem, earth-power, giga-impact, flash-cannon, trick-room, stone-edge, stealth-rock, guard-split, wonder-room, psyshock, telekinesis, smack-down, after-you, round, stored-power, ally-switch, bulldoze, draining-kiss, play-rough, moonblast, confide, diamond-storm, mystical-fire, dazzling-gleam, body-press, meteor-beam, misty-explosion, terrain-pulse, scorching-sands, tera-blast, snowscape"
